Time,0x180601fd_0_1
11-29-2022_14.59.34,19175
11-29-2022_14.59.34,18304
11-29-2022_14.59.34,18428
11-29-2022_14.59.34,19300
11-29-2022_14.59.34,18926
11-29-2022_14.59.34,18304
11-29-2022_14.59.34,18677
11-29-2022_14.59.34,19300
11-29-2022_14.59.35,18304
11-29-2022_14.59.35,18553
11-29-2022_14.59.35,19424
11-29-2022_14.59.35,18677
11-29-2022_14.59.35,18553
11-29-2022_14.59.35,19300
11-29-2022_14.59.35,19300
11-29-2022_14.59.35,18304
11-29-2022_14.59.35,19300
11-29-2022_14.59.36,18677
11-29-2022_14.59.36,18926
11-29-2022_14.59.36,19175
11-29-2022_14.59.36,18553
11-29-2022_14.59.36,18926
11-29-2022_14.59.36,19424
11-29-2022_14.59.36,18179
11-29-2022_14.59.36,18428
11-29-2022_14.59.36,19549
11-29-2022_14.59.37,18802
11-29-2022_14.59.37,18304
11-29-2022_14.59.37,18802
11-29-2022_14.59.37,18677
11-29-2022_14.59.37,19051
11-29-2022_14.59.37,19424
11-29-2022_14.59.37,19051
11-29-2022_14.59.37,18677
11-29-2022_14.59.37,19051
11-29-2022_14.59.38,19549
11-29-2022_14.59.38,18553
11-29-2022_14.59.38,19051
11-29-2022_14.59.38,18428
11-29-2022_14.59.38,18428
11-29-2022_14.59.38,19051
11-29-2022_14.59.38,19175
11-29-2022_14.59.38,18677
11-29-2022_14.59.38,19051
11-29-2022_14.59.39,19549
11-29-2022_14.59.39,18428
11-29-2022_14.59.39,18553
11-29-2022_14.59.39,19175
11-29-2022_14.59.39,18926
11-29-2022_14.59.39,18428
11-29-2022_14.59.39,19300
11-29-2022_14.59.39,19549
11-29-2022_14.59.39,18428
11-29-2022_14.59.39,18677
11-29-2022_14.59.40,19424
11-29-2022_14.59.40,18802
11-29-2022_14.59.40,18553
11-29-2022_14.59.40,19175
11-29-2022_14.59.40,19300
11-29-2022_14.59.40,18304
11-29-2022_14.59.40,18677
11-29-2022_14.59.40,19051
11-29-2022_14.59.40,18428
11-29-2022_14.59.40,18553
11-29-2022_14.59.41,19175
11-29-2022_14.59.41,19051
11-29-2022_14.59.41,18055
11-29-2022_14.59.41,18428
