Time,cycle_puissance
11-29-2022_14.59.13,314796.48755391093
11-29-2022_14.59.13,307174.0757602717
11-29-2022_14.59.13,307548.0693473867
11-29-2022_14.59.13,318978.64306416054
11-29-2022_14.59.13,299508.9778828099
11-29-2022_14.59.13,305436.543891928
11-29-2022_14.59.14,309260.1605211637
11-29-2022_14.59.14,309260.1419813214
11-29-2022_14.59.14,303348.0111670594
11-29-2022_14.59.14,309263.22303469107
11-29-2022_14.59.14,316880.6832808503
11-29-2022_14.59.14,303348.0111670594
11-29-2022_14.59.14,303348.0111670594
11-29-2022_14.59.14,310987.1720423615
11-29-2022_14.59.14,305065.0366997917
11-29-2022_14.59.14,303344.9486535321
11-29-2022_14.59.15,310987.19058220385
11-29-2022_14.59.15,308883.6818903875
11-29-2022_14.59.15,305068.3382387651
11-29-2022_14.59.15,305068.3382387651
11-29-2022_14.59.15,314796.74511919933
11-29-2022_14.59.15,303348.2501925055
11-29-2022_14.59.15,311369.42006724747
11-29-2022_14.59.15,316877.6393071653
11-29-2022_14.59.15,310987.1720423615
11-29-2022_14.59.15,305436.543891928
11-29-2022_14.59.16,307171.01324674435
11-29-2022_14.59.16,314793.4250403836
11-29-2022_14.59.16,303348.2501925055
11-29-2022_14.59.16,318981.94460313395
11-29-2022_14.59.16,310990.4735813349
11-29-2022_14.59.16,303348.2501925055
11-29-2022_14.59.16,309260.1605211637
11-29-2022_14.59.16,314793.4250403836
11-29-2022_14.59.16,301603.03962502466
11-29-2022_14.59.17,307171.01324674435
11-29-2022_14.59.17,314793.4435802259
11-29-2022_14.59.17,301239.7872505741
11-29-2022_14.59.17,313077.1543519355
11-29-2022_14.59.17,310990.4735813349
11-29-2022_14.59.17,303348.2501925055
11-29-2022_14.59.17,313073.8528129621
11-29-2022_14.59.17,318978.64306416054
11-29-2022_14.59.17,305436.543891928
11-29-2022_14.59.18,303344.9486535321
11-29-2022_14.59.18,316877.6393071653
11-29-2022_14.59.18,309263.44413631933
11-29-2022_14.59.18,313077.1368080325
11-29-2022_14.59.18,316880.9233022357
11-29-2022_14.59.18,299512.2807976375
11-29-2022_14.59.18,303344.9486535321
11-29-2022_14.59.18,314793.4435802259
11-29-2022_14.59.18,308883.6818903875
11-29-2022_14.59.19,301236.4857116007
11-29-2022_14.59.19,309260.1605211637
11-29-2022_14.59.19,318593.0933155656
11-29-2022_14.59.19,301239.78824651346
11-29-2022_14.59.19,303348.25118844485
11-29-2022_14.59.19,318593.0933155656
11-29-2022_14.59.19,301239.78824651346
11-29-2022_14.59.19,307171.01324674435
11-29-2022_14.59.19,313073.8528129621
11-29-2022_14.59.19,313073.8528129621
11-29-2022_14.59.20,305436.543891928
11-29-2022_14.59.20,307545.00683385937
11-29-2022_14.59.20,316880.94184207806
11-29-2022_14.59.20,297401.3310808125
11-29-2022_14.59.20,305439.84642684076
11-29-2022_14.59.20,318593.0933155656
11-29-2022_14.59.20,310990.4745772743
11-29-2022_14.59.20,307171.01324674435
11-29-2022_14.59.20,311366.11852827406
11-29-2022_14.59.20,316877.62076732295
11-29-2022_14.59.21,303344.94827361725
11-29-2022_14.59.21,307171.01324674435
11-29-2022_14.59.21,316880.9428380174
11-29-2022_14.59.21,310990.47557321365
11-29-2022_14.59.21,309263.4455121735
11-29-2022_14.59.21,311369.44059896853
11-29-2022_14.59.21,309263.4455121735
11-29-2022_14.59.21,305436.543891928
11-29-2022_14.59.21,303344.9486535321
11-29-2022_14.59.21,316877.6393071653
11-29-2022_14.59.22,303344.9486535321
11-29-2022_14.59.22,307171.01324674435
11-29-2022_14.59.22,313077.1378039719
11-29-2022_14.59.22,305439.8474227801
11-29-2022_14.59.22,310990.47557321365
11-29-2022_14.59.22,318593.094311505
11-29-2022_14.59.22,301603.0400049395
11-29-2022_14.59.22,309260.1419813214
11-29-2022_14.59.22,316877.6393071653
11-29-2022_14.59.23,307171.01324674435
11-29-2022_14.59.23,301603.03962502466
11-29-2022_14.59.23,310990.47557321365
11-29-2022_14.59.23,303348.2521843842
11-29-2022_14.59.23,313077.1563438142
11-29-2022_14.59.23,315180.6464957882
11-29-2022_14.59.23,301603.0400049395
11-29-2022_14.59.23,305436.543891928
11-29-2022_14.59.23,313073.8528129621
11-29-2022_14.59.24,310987.1720423615
11-29-2022_14.59.24,307171.01324674435
11-29-2022_14.59.24,305439.8669585618
11-29-2022_14.59.24,299512.2827895162
11-29-2022_14.59.24,301606.344531731
11-29-2022_14.59.24,314796.7481070174
11-29-2022_14.59.24,310987.1720423615
11-29-2022_14.59.24,305436.543891928
11-29-2022_14.59.24,315177.3244250937
11-29-2022_14.59.25,316877.6393071653
11-29-2022_14.59.25,297398.0285458997
11-29-2022_14.59.25,305439.8669585618
11-29-2022_14.59.25,313077.1573397536
11-29-2022_14.59.25,305439.84803880466
11-29-2022_14.59.25,310990.476569153
11-29-2022_14.59.25,314793.4250403836
11-29-2022_14.59.25,309260.1419813214
11-29-2022_14.59.26,313073.8528129621
11-29-2022_14.59.26,299508.9782627247
11-29-2022_14.59.26,303348.2531803236
11-29-2022_14.59.26,316880.9438339568
11-29-2022_14.59.26,307174.31777353585
11-29-2022_14.59.26,303348.2531803236
11-29-2022_14.59.26,303348.2531803236
11-29-2022_14.59.26,312692.4212833882
11-29-2022_14.59.26,305065.055239634
11-29-2022_14.59.26,307545.0253737017
11-29-2022_14.59.27,313073.83427311975
11-29-2022_14.59.27,310987.19058220385
11-29-2022_14.59.27,301239.7912343315
11-29-2022_14.59.27,314796.7305631144
11-29-2022_14.59.27,303348.2727161052
11-29-2022_14.59.27,313458.55278558197
11-29-2022_14.59.27,316877.6393071653
11-29-2022_14.59.27,305065.055239634
11-29-2022_14.59.27,297398.02892581455
11-29-2022_14.59.28,305065.03631987685
11-29-2022_14.59.28,310987.1720423615
11-29-2022_14.59.28,299148.1959959356
11-29-2022_14.59.28,314796.7305631144
11-29-2022_14.59.28,297401.3529883877
11-29-2022_14.59.28,301239.7912343315
11-29-2022_14.59.28,314793.42466046877
11-29-2022_14.59.28,305065.055239634
11-29-2022_14.59.28,305065.0366997917
11-29-2022_14.59.29,314793.4250403836
11-29-2022_14.59.29,314793.4250403836
11-29-2022_14.59.29,295307.2912461729
11-29-2022_14.59.29,303348.2541762629
11-29-2022_14.59.29,314796.7305631144
11-29-2022_14.59.29,297401.3529883877
11-29-2022_14.59.29,301239.7912343315
11-29-2022_14.59.29,313073.83427311975
11-29-2022_14.59.29,307171.01324674435
11-29-2022_14.59.29,303344.9671933744
11-29-2022_14.59.30,303344.9486535321
11-29-2022_14.59.30,312692.4212833882
11-29-2022_14.59.30,295307.2922421123
11-29-2022_14.59.30,299148.19699187495
11-29-2022_14.59.30,314796.73117913894
11-29-2022_14.59.30,306800.3261782995
11-29-2022_14.59.30,301239.79223027086
11-29-2022_14.59.30,307171.0128668295
11-29-2022_14.59.30,314793.42466046877
11-29-2022_14.59.30,291453.15663624206
11-29-2022_14.59.31,307171.01324674435
11-29-2022_14.59.31,314793.4250403836
11-29-2022_14.59.31,305068.3617583042
11-29-2022_14.59.31,299512.2847813949
11-29-2022_14.59.31,310990.47818111687
11-29-2022_14.59.31,310611.5320751191
11-29-2022_14.59.31,295307.2922421123
11-29-2022_14.59.31,313073.83427311975
11-29-2022_14.59.31,310987.19058220385
11-29-2022_14.59.31,299144.8904732048
11-29-2022_14.59.32,313073.83427311975
11-29-2022_14.59.32,308883.6818903875
11-29-2022_14.59.32,308886.98840905767
11-29-2022_14.59.32,301239.8107701132
11-29-2022_14.59.32,307174.3193854997
11-29-2022_14.59.32,314796.73155905376
11-29-2022_14.59.32,303348.2737120446
11-29-2022_14.59.32,307171.01324674435
11-29-2022_14.59.32,314793.4250403836
11-29-2022_14.59.32,303344.9486535321
11-29-2022_14.59.33,297398.02892581455
11-29-2022_14.59.33,310987.1716624467
11-29-2022_14.59.33,316494.56239340344
11-29-2022_14.59.33,297401.3549802664
11-29-2022_14.59.33,305068.3442144012
11-29-2022_14.59.33,314796.7321750783
11-29-2022_14.59.33,305068.36275424354
11-29-2022_14.59.33,303344.9486535321
11-29-2022_14.59.33,314793.42466046877
11-29-2022_14.59.33,314793.4250403836
11-29-2022_14.59.34,301236.504251443
11-29-2022_14.59.34,310987.1720423615
11-29-2022_14.59.34,313077.1417877293
11-29-2022_14.59.34,299512.3043171766
11-29-2022_14.59.34,301239.7932262102
11-29-2022_14.59.34,314796.7321750783
11-29-2022_14.59.34,308886.98940499703
11-29-2022_14.59.34,299508.99680256704
11-29-2022_14.59.34,305065.03631987685
11-29-2022_14.59.34,314793.4250403836
11-29-2022_14.59.35,299508.99680256704
11-29-2022_14.59.35,303344.9486535321
11-29-2022_14.59.35,316494.5620134886
