Time,sous_cycle_1
11-29-2022_14.59.14,8057.641832951442
11-29-2022_14.59.14,8209.944250922259
11-29-2022_14.59.14,8406.076545111026
11-29-2022_14.59.14,8057.641832951442
11-29-2022_14.59.14,8057.641832951442
11-29-2022_14.59.14,8254.411242891732
11-29-2022_14.59.14,8101.930084247862
11-29-2022_14.59.14,8057.641832951442
11-29-2022_14.59.15,8254.411242891732
11-29-2022_14.59.15,8200.251282503223
11-29-2022_14.59.15,8101.930084247862
11-29-2022_14.59.15,8101.930084247862
11-29-2022_14.59.15,8352.413371120409
11-29-2022_14.59.15,8057.641832951442
11-29-2022_14.59.15,8264.168230176474
11-29-2022_14.59.15,8406.076545111026
11-29-2022_14.59.15,8254.411242891732
11-29-2022_14.59.15,8111.4955270864075
11-29-2022_14.59.16,8156.154063502077
11-29-2022_14.59.16,8352.413371120409
11-29-2022_14.59.16,8057.641832951442
11-29-2022_14.59.16,8460.172486633826
11-29-2022_14.59.16,8254.411242891732
11-29-2022_14.59.16,8057.641832951442
11-29-2022_14.59.16,8209.944250922259
11-29-2022_14.59.16,8352.413371120409
11-29-2022_14.59.16,8012.791752089576
11-29-2022_14.59.17,8156.154063502077
11-29-2022_14.59.17,8352.413371120409
11-29-2022_14.59.17,8003.3538348315205
11-29-2022_14.59.17,8308.137923597133
11-29-2022_14.59.17,8254.411242891732
11-29-2022_14.59.17,8057.641832951442
11-29-2022_14.59.17,8308.137923597133
11-29-2022_14.59.17,8460.172486633826
11-29-2022_14.59.17,8111.4955270864075
11-29-2022_14.59.18,8057.641832951442
11-29-2022_14.59.18,8406.076545111026
11-29-2022_14.59.18,8209.944250922259
11-29-2022_14.59.18,8308.137923597133
11-29-2022_14.59.18,8406.076545111026
11-29-2022_14.59.18,7958.874551239831
11-29-2022_14.59.18,8057.641832951442
11-29-2022_14.59.18,8352.413371120409
11-29-2022_14.59.18,8200.251282503223
11-29-2022_14.59.19,8003.3538348315205
11-29-2022_14.59.19,8209.944250922259
11-29-2022_14.59.19,8450.160448188108
11-29-2022_14.59.19,8003.3538348315205
11-29-2022_14.59.19,8057.641832951442
11-29-2022_14.59.19,8450.160448188108
11-29-2022_14.59.19,8003.3538348315205
11-29-2022_14.59.19,8156.154063502077
11-29-2022_14.59.19,8308.137923597133
11-29-2022_14.59.19,8308.137923597133
11-29-2022_14.59.20,8111.4955270864075
11-29-2022_14.59.20,8165.7835252063305
11-29-2022_14.59.20,8406.076545111026
11-29-2022_14.59.20,7904.5225342542
11-29-2022_14.59.20,8111.4955270864075
11-29-2022_14.59.20,8450.160448188108
11-29-2022_14.59.20,8254.411242891732
11-29-2022_14.59.20,8156.154063502077
11-29-2022_14.59.20,8264.168230176474
11-29-2022_14.59.20,8406.076545111026
11-29-2022_14.59.21,8057.641832951442
11-29-2022_14.59.21,8156.154063502077
11-29-2022_14.59.21,8406.076545111026
11-29-2022_14.59.21,8254.411242891732
11-29-2022_14.59.21,8209.944250922259
11-29-2022_14.59.21,8264.168230176474
11-29-2022_14.59.21,8209.944250922259
11-29-2022_14.59.21,8111.4955270864075
11-29-2022_14.59.21,8057.641832951442
11-29-2022_14.59.21,8406.076545111026
11-29-2022_14.59.22,8057.641832951442
11-29-2022_14.59.22,8156.154063502077
11-29-2022_14.59.22,8308.137923597133
11-29-2022_14.59.22,8111.4955270864075
11-29-2022_14.59.22,8254.411242891732
11-29-2022_14.59.22,8450.160448188108
11-29-2022_14.59.22,8012.791752089576
11-29-2022_14.59.22,8209.944250922259
11-29-2022_14.59.22,8406.076545111026
11-29-2022_14.59.23,8156.154063502077
11-29-2022_14.59.23,8012.791752089576
11-29-2022_14.59.23,8254.411242891732
11-29-2022_14.59.23,8057.641832951442
11-29-2022_14.59.23,8308.137923597133
11-29-2022_14.59.23,8362.297883985639
11-29-2022_14.59.23,8012.791752089576
11-29-2022_14.59.23,8111.4955270864075
11-29-2022_14.59.23,8308.137923597133
11-29-2022_14.59.24,8254.411242891732
11-29-2022_14.59.24,8156.154063502077
11-29-2022_14.59.24,8111.4955270864075
11-29-2022_14.59.24,7958.874551239831
11-29-2022_14.59.24,8012.791752089576
11-29-2022_14.59.24,8352.413371120409
11-29-2022_14.59.24,8254.411242891732
11-29-2022_14.59.24,8111.4955270864075
11-29-2022_14.59.24,8362.297883985639
11-29-2022_14.59.25,8406.076545111026
11-29-2022_14.59.25,7904.5225342542
11-29-2022_14.59.25,8111.4955270864075
11-29-2022_14.59.25,8308.137923597133
11-29-2022_14.59.25,8111.4955270864075
11-29-2022_14.59.25,8254.411242891732
11-29-2022_14.59.25,8352.413371120409
11-29-2022_14.59.25,8209.944250922259
11-29-2022_14.59.26,8308.137923597133
11-29-2022_14.59.26,7958.874551239831
11-29-2022_14.59.26,8057.641832951442
11-29-2022_14.59.26,8406.076545111026
11-29-2022_14.59.26,8156.154063502077
11-29-2022_14.59.26,8057.641832951442
11-29-2022_14.59.26,8057.641832951442
11-29-2022_14.59.26,8298.317429597608
11-29-2022_14.59.26,8101.930084247862
11-29-2022_14.59.26,8165.7835252063305
11-29-2022_14.59.27,8308.137923597133
11-29-2022_14.59.27,8254.411242891732
11-29-2022_14.59.27,8003.3538348315205
11-29-2022_14.59.27,8352.413371120409
