Time,sous_cycle_1
11-29-2022_14.59.09,8199.730517078022
11-29-2022_14.59.09,8340.532338651192
11-29-2022_14.59.09,7994.8144559885795
11-29-2022_14.59.09,8004.242303224415
11-29-2022_14.59.09,8340.532338651192
11-29-2022_14.59.10,8145.929335269468
11-29-2022_14.59.10,8048.248239880273
11-29-2022_14.59.10,8340.532338651192
11-29-2022_14.59.10,7896.8172865962215
11-29-2022_14.59.10,7994.8144559885795
11-29-2022_14.59.10,8287.287589372323
11-29-2022_14.59.10,8243.357368193107
11-29-2022_14.59.10,8102.112941383996
11-29-2022_14.59.10,8243.357368193107
11-29-2022_14.59.11,8287.287589372323
11-29-2022_14.59.11,7950.314082025523
11-29-2022_14.59.11,7994.8144559885795
11-29-2022_14.59.11,8092.558562915383
11-29-2022_14.59.11,8145.929335269468
11-29-2022_14.59.11,8243.357368193107
11-29-2022_14.59.11,8145.929335269468
11-29-2022_14.59.11,7994.8144559885795
11-29-2022_14.59.11,8092.558562915383
11-29-2022_14.59.12,8394.206481069406
11-29-2022_14.59.12,8092.558562915383
11-29-2022_14.59.12,8102.112941383996
11-29-2022_14.59.12,8297.095030306491
11-29-2022_14.59.12,8145.929335269468
11-29-2022_14.59.12,8048.248239880273
11-29-2022_14.59.12,8199.730517078022
11-29-2022_14.59.12,8394.206481069406
11-29-2022_14.59.12,8048.248239880273
11-29-2022_14.59.12,8155.546725275689
11-29-2022_14.59.13,8297.095030306491
11-29-2022_14.59.13,8092.558562915383
11-29-2022_14.59.13,7994.8144559885795
11-29-2022_14.59.13,8243.357368193107
11-29-2022_14.59.13,8287.287589372323
11-29-2022_14.59.13,8092.558562915383
11-29-2022_14.59.13,8102.112941383996
11-29-2022_14.59.13,8394.206481069406
11-29-2022_14.59.13,7896.8172865962215
11-29-2022_14.59.13,8048.248239880273
11-29-2022_14.59.14,8145.929335269468
11-29-2022_14.59.14,8145.929335269468
11-29-2022_14.59.14,7994.8144559885795
11-29-2022_14.59.14,8145.929335269468
11-29-2022_14.59.14,8340.532338651192
